Countries,Population density (people per sq. km of land area),"Mortality rate, under-5 (per 1,000 live births)"
Late-demographic dividend,50.21238597,13.20330696
IDA only,50.1088869,70.13451508
Nicaragua,49.97434768,22.8
Guinea,49.95737832,97
"Yemen, Rep.",49.59311325,43.8
Fiji,48.51943076,22.9
Afghanistan,48.44454554,93.9
Cameroon,48.17544372,90.6
"Iran, Islamic Rep.",47.97738402,16.1
Lithuania,46.80553871,5.2
Belarus,46.69316939,4.7
Low income,46.42891602,78.9
Montenegro,46.23122677,5
Least developed countries: UN classification,46.20951777,75.6755051
South Africa,44.63538133,41.4
Upper middle income,43.23830137,19.2
Colombia,43.07471203,16.4
Sub-Saharan Africa,41.25857581,86.05960392
Sub-Saharan Africa (IDA & IBRD countries),41.25857581,86.05960392
Sub-Saharan Africa (excluding high income),41.25551118,86
Middle East & North Africa (excluding high income),41.24347698,25.4
Middle East & North Africa (IDA & IBRD countries),40.77488706,25.68433512
Madagascar,40.51514782,51.5
Zimbabwe,39.41024945,72.3
Middle East & North Africa,37.07073644,24.07603197
OECD members,37.05272156,7.159414893
Heavily indebted poor countries (HIPC),35.52121194,79.11685723
United States,34.86309812,6.7
"Venezuela, RB",34.79828468,15.3
Mozambique,34.60957298,81.2
High income,33.65447351,5.6
"Congo, Dem. Rep.",33.02839814,101.7
Europe & Central Asia,32.93303396,11.68844654
Latvia,32.06468318,8.2
Latin America & Caribbean (excluding high income),31.36756072,18.5
Latin America & Caribbean,31.25589901,18.35288218
Estonia,31.01073366,3.2
Latin America & the Caribbean (IDA & IBRD countries),30.64296282,18.49666483
Kyrgyz Republic,30.42492179,22.6
Equatorial Guinea,29.26506239,97.4
Lao PDR,28.98310225,69.1
Brazil,24.65595192,16.2
Peru,24.19777188,17.5
Chile,23.88955284,8.3
Sweden,23.80523434,3
Sudan,21.57468771,72.2
Vanuatu,21.23732568,28.1
Zambia,21.1481766,66.6
Europe & Central Asia (IDA & IBRD countries),19.62842909,17.03897537
Uruguay,19.53785853,10.6
North America,19.43520052,6.550721988
Europe & Central Asia (excluding high income),18.07500385,17.8
Finland,17.97200303,2.4
Paraguay,16.49262019,21.2
Algeria,16.34700582,25.6
Argentina,15.70511311,12.9
Belize,15.41893906,17
Niger,15.08938817,99.6
Small states,14.99637125,49.64974345
Saudi Arabia,14.36790654,15
Norway,14.06516722,2.7
Mali,14.00275531,118.3
Oman,13.68677544,11.6
"Congo, Rep.",13.1916896,47.1
Chad,10.79022633,142.9
Bolivia,9.749734146,39.8
Russian Federation,8.781877489,9.9
Gabon,6.549745799,52.3
Kazakhstan,6.404127866,15.1
Botswana,3.917098089,44.8
Guyana,3.880584201,40.2
Mauritania,3.851387407,87.5
Suriname,3.450307692,21.9
Namibia,2.918604623,46.4
Mongolia,1.873034192,23.5
South Sudan,0,95.6
